Timestamp,Open,Close,Low,High,Volume_(BTC),Volume_(Currency),Weighted_Price,hash_rate,Search_volume,Block_size,Difficulty,active_addresses,Block_time,Average fees,mining_profitability,Transactions,Tweets_volume
2016-11-11,714.48,716.39,712.24,720.94,3328.3307617900023,2382869.9598902813,716.39,2063129.82,3.0,754730.0,254620187304.0,500894,8.834,0.204,0.705,254456,19923
2016-11-12,716.39,702.28,701.0,716.39,2811.551069839996,1988237.320697884,702.28,2126416.01,3.0,710320.0,254620187304.0,506675,8.571,0.204,0.741,228718,17540
2016-11-13,701.17,700.38,683.23,702.89,6023.549022160007,4174451.2359593376,701.44945677,1809985.0574561,3.0,773316.0,254620187304.0,469471,10.141,0.199,0.646,219515,19573
2016-11-14,700.38,703.82,697.14,705.89,7566.580509690004,5302237.185789735,704.35615844,2177044.96,3.0,790145.0,254620187304.0,561487,8.372,0.206,0.776,270334,22700
2016-11-15,704.98,711.06,703.05,716.54,5668.939948839999,4030616.4008572055,711.08220429,1974529.15,3.0,854329.0,254620187304.0,569386,9.231,0.206,0.716,280196,23129
2016-11-16,711.07,739.71,708.44,742.87,11585.045418189988,8443845.515489293,739.70045498,2177044.96421293,3.0,791266.0,254620187304.0,548689,8.421,0.198,0.743,289618,23016
2016-11-17,739.71,735.24,732.22,749.98,6681.431515489996,4971520.494867901,735.24,2012500.86,3.0,898316.0,254620187304.0,550422,9.057,0.238,0.715,277301,22943
2016-11-18,736.0,748.98,731.31,752.95,4271.041462810008,3180459.4411375183,748.98,2073243.13,3.0,932310.0,272434584596.0,549150,9.73,0.225,0.706,275777,22105
2016-11-19,748.98,750.75,742.63,755.07,1965.4365225099996,1470296.812305117,750.75,1989192.73972682,3.0,852791.0,281800917193.0,524407,10.141,0.216,0.684,249618,20995
2016-11-20,750.09,727.09,714.0,753.82,5525.959611099996,4046316.482231693,727.09,1807083.54,3.0,902223.0,281800917193.0,517241,11.25,0.222,0.649,243463,17894
2016-11-21,727.09,736.76,727.03,739.2,4017.577624660004,2948982.13323245,736.76,1961175.94,3.0,922410.0,281800917193.0,548221,10.36,0.244,0.73,285654,22770
2016-11-22,736.92,749.22,730.27,750.0,5034.704085109999,3735123.7523121913,749.21552392,1877125.54312249,3.0,958802.0,281800917193.0,515430,10.746,0.264,0.689,285501,22500
2016-11-23,749.13,740.18,729.92,749.98,4462.778715269995,3298351.608871642,740.18,2059234.73,3.0,950994.0,281800917193.0,572136,9.796,0.292,0.696,276777,21827
2016-11-24,740.18,735.63,729.0,741.15,4039.815353529999,2967466.386056829,735.63,2297377.53,3.0,951631.0,281800917193.0,627191,8.889,0.306,0.775,328376,21061
2016-11-25,735.63,737.07,728.0,737.07,3356.08903132,2459029.198251331,737.07,2129276.73548223,3.0,942700.0,281800917193.0,591485,9.474,0.322,0.674,315235,20433
2016-11-26,736.96,729.91,722.3,737.56,2314.576621440003,1685262.2965749633,729.91089557,2157293.53,3.0,944915.0,281800917193.0,580075,9.412,0.269,0.688,277455,19734
2016-11-27,729.91,727.32,722.44,732.0,3447.86947559,2508288.0484492206,727.31462041,2017209.53,3.0,821422.0,281800917193.0,509057,10.0,0.251,0.643,237245,19864
2016-11-28,727.32,729.54,724.1,732.44,4741.11519229001,3457223.0035558394,729.54,2297377.53038872,3.0,909028.0,281800917193.0,619715,8.78,0.269,0.741,298366,22289
2016-11-29,730.99,730.76,721.0,733.29,5406.900353230006,3944721.683632724,730.76,2115268.33,3.0,906094.0,281800917193.0,569254,9.664,0.256,0.67,289501,21602
2016-11-30,730.72,742.06,727.0,744.49,6249.618523000005,4608044.879771699,742.06,1989192.73,3.0,912165.0,281800917193.0,544081,10.141,0.251,0.671,292512,21457
2016-12-01,742.06,751.54,740.18,754.98,6124.501859480012,4590130.148591157,751.54,2045226.33802898,3.0,899426.0,281800917193.0,542441,9.863,0.321,0.666,239536,21117
2016-12-02,751.55,769.99,750.77,778.07,8098.57532493001,6209209.2624213295,769.98999499,2052749.31,3.0,976486.0,286175539942.0,629587,10.07,0.294,0.747,315335,20335
2016-12-03,770.91,760.75,752.41,770.99,2772.661247710004,2114389.5577994147,761.00453812,2451895.01,3.0,880779.0,286765766821.0,612406,8.372,0.269,0.757,287816,16186
2016-12-04,762.97,762.0,752.41,762.97,3215.684818180003,2440424.8432701905,761.99901399,2109770.13119712,3.0,856916.0,286765766821.0,575641,9.73,0.288,0.633,245502,16345
2016-12-05,762.0,750.24,743.0,762.09,5567.772857170002,4175776.967812331,750.24,2166790.94,3.0,882605.0,286765766821.0,604251,9.474,0.288,0.703,277849,18558
2016-12-06,749.51,758.98,747.99,759.9,6763.738524849994,5108421.858955383,758.97909489,2138280.53,3.0,962678.0,286765766821.0,671328,9.6,0.282,0.735,319612,20236
2016-12-07,758.97,763.99,751.78,769.61,4809.707775870012,3665122.0775553575,763.99,2494660.6281047,3.0,884110.0,286765766821.0,643398,8.276,0.263,0.742,310580,21592
2016-12-08,764.05,766.84,762.29,772.01,4892.939254880007,3758555.431846966,766.29914774,2238066.96,3.0,850095.0,286765766821.0,578224,9.172,0.261,0.652,282554,21302
2016-12-09,766.84,769.57,766.29,773.99,2868.416568629996,2209620.287844188,769.57,1924452.48,3.0,930241.0,286765766821.0,539503,10.667,0.275,0.672,268680,19749
2016-12-10,769.57,772.28,768.11,774.12,2200.7081276500007,1700155.0152441892,772.27856588,1881686.8737704,3.0,898399.0,286765766821.0,488574,10.909,0.268,0.708,250109,18331
2016-12-11,772.28,768.97,764.01,772.28,1421.130417479999,1090977.424637812,768.97,2223811.75,3.0,683957.0,286765766821.0,495466,7.701,0.256,0.801,229746,16070
2016-12-12,768.97,776.9,768.96,779.0,2805.1913316599966,2174538.227741772,777.12622642,2223811.75,3.0,805932.0,286765766821.0,532703,9.231,0.269,0.647,268506,18775
2016-12-13,777.0,775.35,765.1,793.27,4918.814007059994,3828369.081140054,775.30829268,2537426.23887221,3.0,814819.0,286765766821.0,564772,8.09,0.26,0.74,291579,20749
2016-12-14,775.75,777.09,770.74,781.0,2333.3803948099994,1812395.33523661,777.09,1981473.29,3.0,901545.0,286765766821.0,535625,10.36,0.257,0.642,286189,21101
2016-12-15,777.03,775.89,771.0,779.08,3039.82232695,2360816.7525569545,775.89,1958064.63,3.0,955343.0,308312273902.0,534271,11.339,0.276,0.652,282558,19341
2016-12-16,776.3,781.32,771.24,782.46,3475.771132310002,2706428.282121676,781.32,2050571.62855749,3.0,966534.0,310153855703.0,558336,10.827,0.272,0.674,279228,19242
2016-12-17,781.32,788.52,780.36,790.88,2389.7618808299994,1878367.3114768525,788.52,2235585.61,3.0,816951.0,310153855703.0,507908,10.0,0.269,0.746,237986,18364
2016-12-18,788.3,788.67,780.0,790.99,2519.243749389998,1983165.3657057695,788.67,2173914.28,4.0,861334.0,310153855703.0,467400,10.213,0.27,0.604,235648,18930
2016-12-19,788.34,791.0,787.01,794.39,3917.870275220001,3100648.8635410625,791.00019879,2343510.43263714,4.0,914692.0,310153855703.0,569466,9.536,0.291,0.699,281978,25718
2016-12-20,791.03,798.65,787.1,803.0,4118.6935046300005,3267705.4012988694,798.62388749,2127660.78,4.0,970297.0,310153855703.0,581498,10.435,0.272,0.663,296335,22945
2016-12-21,798.83,832.75,796.82,834.97,9391.36496102,7667888.810826068,832.75023284,2451435.25,4.0,963883.0,310153855703.0,620386,9.057,0.286,0.736,325518,25531
2016-12-22,832.02,859.96,827.29,875.0,12070.353260850028,10331509.729172189,859.96,2451435.25519279,4.0,919753.0,310153855703.0,605495,9.057,0.288,0.721,314485,27288
